tingkatan,theme_name,bidang_code,bidang_name,standard_kandungan_code,standard_kandungan_name,standard_pembelajaran_code,standard_pembelajaran_name
4,Keselamatan dan Kesihatan,1.0,Langkah Keselamatan dalam Makmal,1.1,Peralatan perlindungan diri,1.1.1,Fungsi PPE
4,Keselamatan dan Kesihatan,1.0,Langkah Keselamatan dalam Makmal,1.1,Peralatan perlindungan diri,1.1.2,Simbol keselamatan
4,Keselamatan dan Kesihatan,2.0,Bantuan Kecemasan,2.1,CPR,2.1.1,Maksud CPR
4,Keselamatan dan Kesihatan,2.0,Bantuan Kecemasan,2.1,CPR,2.1.2,Prosedur CPR
4,Penyenggaraan dan Kesinambungan Hidup,5.0,Genetik,5.1,Pewarisan,5.1.1,Gen dan alel
4,Penyenggaraan dan Kesinambungan Hidup,5.0,Genetik,5.1,Pewarisan,5.1.2,Gen dominan dan resesif
5,Penyenggaraan dan Kesinambungan Hidup,1.0,Mikroorganisma,1.1,Jenis mikroorganisma,1.1.1,Contoh mikroorganisma
5,Penyenggaraan dan Kesinambungan Hidup,1.0,Mikroorganisma,1.1,Jenis mikroorganisma,1.1.2,Ciri mikroorganisma
