tingkatan,theme_name,bidang_code,bidang_name,standard_kandungan_code,standard_kandungan_name,standard_pembelajaran_code,standard_pembelajaran_name
5,Penerokaan Unsur dalam Alam,5.0,Sebatian Karbon,5.2,Hidrokarbon,5.2.1,Menerangkan maksud hidrokarbon
5,Penerokaan Unsur dalam Alam,5.0,Sebatian Karbon,5.2,Hidrokarbon,5.2.2,Menerangkan siri homolog alkana dan alkena
5,Penerokaan Unsur dalam Alam,5.0,Sebatian Karbon,5.2,Hidrokarbon,5.2.3,Menerangkan sifat kimia alkana dan alkena
5,Penerokaan Unsur dalam Alam,5.0,Sebatian Karbon,5.2,Hidrokarbon,5.2.4,Mewajarkan kegunaan hidrokarbon dalam kehidupan harian
5,Penerokaan Unsur dalam Alam,5.0,Sebatian Karbon,5.3,Alkohol,5.3.1,Menerangkan maksud alkohol
5,Penerokaan Unsur dalam Alam,5.0,Sebatian Karbon,5.3,Alkohol,5.3.2,Menerangkan penghasilan alkohol
5,Penerokaan Unsur dalam Alam,5.0,Sebatian Karbon,5.3,Alkohol,5.3.3,Mewajarkan kesan pengambilan alkohol terhadap kesihatan
5,Penerokaan Unsur dalam Alam,5.0,Sebatian Karbon,5.4,Lemak,5.4.1,Menerangkan maksud lemak
5,Penerokaan Unsur dalam Alam,5.0,Sebatian Karbon,5.4,Lemak,5.4.2,Menerangkan kesan pengambilan lemak tepu dan lemak tak tepu terhadap kesihatan
5,Penerokaan Unsur dalam Alam,5.0,Sebatian Karbon,5.5,Sabun dan Detergen,5.5.1,Menerangkan maksud sabun dan detergen
5,Penerokaan Unsur dalam Alam,5.0,Sebatian Karbon,5.5,Sabun dan Detergen,5.5.2,Menerangkan proses saponifikasi
5,Penerokaan Unsur dalam Alam,5.0,Sebatian Karbon,5.5,Sabun dan Detergen,5.5.3,Menerangkan tindakan pencucian sabun dan detergen
5,Penerokaan Unsur dalam Alam,5.0,Sebatian Karbon,5.5,Sabun dan Detergen,5.5.4,Membandingkan tindakan pencucian sabun dan detergen dalam air lembut dan air liat
5,Penerokaan Unsur dalam Alam,5.0,Sebatian Karbon,5.5,Sabun dan Detergen,5.5.5,Menerangkan bahan tambah dalam detergen
5,Penerokaan Unsur dalam Alam,5.0,Sebatian Karbon,5.5,Sabun dan Detergen,5.5.6,Mewajarkan penggunaan sabun dan detergen dalam kehidupan harian
5,Penerokaan Unsur dalam Alam,5.0,Sebatian Karbon,5.5,Sabun dan Detergen,5.5.7,Menerangkan kesan penggunaan detergen terhadap alam sekitar
5,Penerokaan Unsur dalam Alam,5.0,Sebatian Karbon,5.5,Sabun dan Detergen,5.5.8,Mencadangkan cara mengurangkan kesan penggunaan detergen terhadap alam sekitar
5,Penerokaan Unsur dalam Alam,5.0,Sebatian Karbon,5.5,Sabun dan Detergen,5.5.9,Menjalankan eksperimen untuk menghasilkan sabun melalui proses saponifikasi
5,Penerokaan Unsur dalam Alam,6.0,Elektrokimia,6.1,Sel Elektrokimia,6.1.1,Menerangkan maksud elektrokimia
5,Penerokaan Unsur dalam Alam,6.0,Elektrokimia,6.1,Sel Elektrokimia,6.1.2,Menerangkan sel kimia ringkas
5,Penerokaan Unsur dalam Alam,6.0,Elektrokimia,6.2,Elektrolisis,6.2.1,Menerangkan elektrolisis
5,Penerokaan Unsur dalam Alam,6.0,Elektrokimia,6.2,Elektrolisis,6.2.2,Menerangkan faktor yang mempengaruhi hasil elektrolisis
5,Penerokaan Unsur dalam Alam,6.0,Elektrokimia,6.2,Elektrolisis,6.2.3,Menjalankan eksperimen elektrolisis larutan akueus
5,Penerokaan Unsur dalam Alam,6.0,Elektrokimia,6.3,Aplikasi Elektrokimia dalam Industri,6.3.1,Menerangkan penyaduran elektrik
5,Penerokaan Unsur dalam Alam,6.0,Elektrokimia,6.3,Aplikasi Elektrokimia dalam Industri,6.3.2,Menerangkan penulenan logam menggunakan elektrolisis
5,Penerokaan Unsur dalam Alam,6.0,Elektrokimia,6.3,Aplikasi Elektrokimia dalam Industri,6.3.3,Mewajarkan aplikasi elektrokimia dalam industri
5,Tenaga dan Kelestarian Hidup,7.0,Cahaya dan Optik,7.1,Pembentukan Imej oleh Kanta,7.1.1,Menerangkan pembentukan imej oleh kanta cembung dan kanta cekung
5,Tenaga dan Kelestarian Hidup,7.0,Cahaya dan Optik,7.1,Pembentukan Imej oleh Kanta,7.1.2,Menentukan ciri imej yang dibentuk oleh kanta
5,Tenaga dan Kelestarian Hidup,7.0,Cahaya dan Optik,7.2,Peralatan Optik,7.2.1,Menerangkan penggunaan kanta dalam peralatan optik
5,Tenaga dan Kelestarian Hidup,7.0,Cahaya dan Optik,7.2,Peralatan Optik,7.2.2,Menerangkan prinsip kerja peralatan optik
5,Tenaga dan Kelestarian Hidup,7.0,Cahaya dan Optik,7.2,Peralatan Optik,7.2.3,Mereka bentuk alat optik ringkas
5,Tenaga dan Kelestarian Hidup,8.0,Daya dan Tekanan,8.1,Tekanan dalam Bendalir,8.1.1,Menerangkan tekanan dalam bendalir
5,Tenaga dan Kelestarian Hidup,8.0,Daya dan Tekanan,8.1,Tekanan dalam Bendalir,8.1.2,Menerangkan aplikasi tekanan dalam bendalir
5,Tenaga dan Kelestarian Hidup,8.0,Daya dan Tekanan,8.2,Prinsip Pascal dan Prinsip Archimedes,8.2.1,Menerangkan Prinsip Pascal dan aplikasinya
5,Tenaga dan Kelestarian Hidup,8.0,Daya dan Tekanan,8.2,Prinsip Pascal dan Prinsip Archimedes,8.2.2,Menerangkan Prinsip Archimedes dan aplikasinya
5,Tenaga dan Kelestarian Hidup,8.0,Daya dan Tekanan,8.3,Prinsip Bernoulli,8.3.1,Menerangkan Prinsip Bernoulli
5,Tenaga dan Kelestarian Hidup,8.0,Daya dan Tekanan,8.3,Prinsip Bernoulli,8.3.2,Menerangkan aplikasi Prinsip Bernoulli dalam kehidupan harian
5,Penerokaan Bumi dan Angkasa Lepas,9.0,Teknologi Angkasa Lepas,9.1,Satelit,9.1.1,Menerangkan satelit dan jenis orbit satelit
5,Penerokaan Bumi dan Angkasa Lepas,9.0,Teknologi Angkasa Lepas,9.1,Satelit,9.1.2,Menerangkan fungsi satelit dalam kehidupan harian
5,Penerokaan Bumi dan Angkasa Lepas,9.0,Teknologi Angkasa Lepas,9.2,Sistem Penentududukan Global (GPS),9.2.1,Menerangkan sistem penentududukan global (GPS)
5,Penerokaan Bumi dan Angkasa Lepas,9.0,Teknologi Angkasa Lepas,9.2,Sistem Penentududukan Global (GPS),9.2.2,Menerangkan aplikasi GPS dalam kehidupan harian
5,Penerokaan Bumi dan Angkasa Lepas,9.0,Teknologi Angkasa Lepas,9.3,Roket dan Teknologi Angkasa Lepas,9.3.1,Menerangkan roket dan teknologi pelancaran roket
5,Penerokaan Bumi dan Angkasa Lepas,9.0,Teknologi Angkasa Lepas,9.3,Roket dan Teknologi Angkasa Lepas,9.3.2,Mewajarkan kepentingan teknologi angkasa lepas
